ElementID,EnterpriseNo,FieldType,DataType
9284,9,refusedConnectionsCountDelta,unsigned32
9285,9,unrespConnectionsCountDelta,unsigned32
9286,9,sumSessionDuration,dateTimeMilliseconds
9292,9,conn_server_response_cnt,unsigned32
9293,9,conn_delay_response_to_server_histogram_bucket_1,unsigned32
9294,9,conn_delay_response_to_server_histogram_bucket_2,unsigned32
9295,9,conn_delay_response_to_server_histogram_bucket_3,unsigned32
9296,9,conn_delay_response_to_server_histogram_bucket_4,unsigned32
9297,9,conn_delay_response_to_server_histogram_bucket_5,unsigned32
9298,9,conn_delay_response_to_server_histogram_bucket_6,unsigned32
9299,9,conn_delay_response_to_server_histogram_bucket_7,unsigned32
9300,9,conn_delay_response_to_server_histogram_late,unsigned32
9303,9,conn_delay_response_to_server_sum,dateTimeMilliseconds
9304,9,conn_delay_response_to_server_max,dateTimeMilliseconds
9305,9,conn_delay_response_to_server_min,dateTimeMilliseconds
9306,9,conn_delay_app_sum,dateTimeMilliseconds
9307,9,conn_delay_app_max,dateTimeMilliseconds
9308,9,conn_delay_app_min,dateTimeMilliseconds
9309,9,conn_delay_response_client_to_server_sum,dateTimeMilliseconds
9310,9,conn_delay_response_client_to_server_max,dateTimeMilliseconds
9311,9,conn_delay_response_client_to_server_min,dateTimeMilliseconds
9313,9,conn_delay_network_client_to_server_sum,dateTimeMilliseconds
9314,9,conn_delay_network_client_to_server_max,dateTimeMilliseconds
9315,9,conn_delay_network_client_to_server_min,dateTimeMilliseconds
9316,9,conn_delay_network_to_client_sum,dateTimeMilliseconds
9317,9,conn_delay_network_to_client_max,dateTimeMilliseconds
9318,9,conn_delay_network_to_client_min,dateTimeMilliseconds
9319,9,conn_delay_network_to_server_sum,dateTimeMilliseconds
9320,9,conn_delay_network_to_server_max,dateTimeMilliseconds
9321,9,conn_delay_network_to_server_min,dateTimeMilliseconds
9322,9,numRoundtripsDeltaCount,unsigned32
9323,9,sumRoundtripTime,unsigned32
9333,9,rtpSsrc,unsigned32
9334,9,rtpPayloadType,unsigned8
9335,9,rtpCodec,unsigned32
9344,9,rtpDuration,unsigned32
9345,9,rtpAvgMos100,unsigned32
9347,9,mos_worst_100,unsigned32
9348,9,rtpActualPacketLoss,unsigned32
9349,9,rtpAdjPacketLoss,unsigned32
9350,9,rtpJitter100,unsigned32
9351,9,rtpSoc,unsigned32
9352,9,rtpSsc,unsigned32
9353,9,rtpMaxPktLoss,unsigned32
9354,9,rtpPktToJitter100,unsigned32
9355,9,mos_quality,unsigned32
9356,9,mos_total_count,unsigned32
9357,9,app_http_uri_statistics,ciscourlhits
9357,9,app_http_uri_statistics,ciscourlhits
9358,9,time_inter_pkt_gap_histogram,octetArray
9359,9,time_inter_pkt_gap_histogram_reverse,octetArray
9360,9,policy_qos_queue_index,unsigned32
9361,9,policy_qos_queue_drops,unsigned64
10232,9,datalink_event,unsigned8
10233,9,L2L3SwitchEventDesc,octetArray
10234,9,datalink_event_extended,unsigned8
10235,9,L2L3SwitchExtEventDesc,octetArray
10236,9,L2L3SwitchACLName,octetArray
10237,9,L2L3SwitchACLType,unsigned8
10238,9,L2L3SwitchACLTypeDesc,string
11232,9,l4r_server_ipv4_address,ipv4Address
11233,9,l4r_server_trans_port,unsigned16
11234,9,l4r_server_ipv6_address,ipv6Address
11235,9,l4r_event,unsigned8
11236,9,l4r_event_timestamp,unsigned32
12172,9,ETA_IDP,octetArray
12173,9,ETA_SPLT,CiscoETA_SPLT
12174,9,ETA_SALT,octetArray
12175,9,ETA_BD_FMT,octetArray
12176,9,ETA_BD,octetArray
12177,9,TLS_Record,octetArray
12178,9,TLS_Cipher,octetArray
12179,9,TLS_EXTNS,octetArray
12180,9,TLS_VERSION,unsigned8
12181,9,TLS_KEYLEN,unsigned16
12182,9,TLS_SESSIONID,octetArray
12183,9,TLS_RANDOM,octetArray
12230,9,app_family_name,string
12231,9,app_set_name,string
12232,9,app_category_name,string
12233,9,app_sub_category_name,string
12234,9,app_group_name,string
12235,9,applicationVarString,ciscoappvarstring
12236,9,conn_client_ipv4_address,ipv4Address
12237,9,conn_server_ipv4_address,ipv4Address
12238,9,conn_client_ipv6_address,ipv6Address
